name,lastname,gender,ethnicity,language,month,day,year
Brian,Swift,male,Other,french,May,19,1958
Sara,Anthony,female,Other,other,April,15,1987
James,Dotts,male,White,other,September,7,1994
Joseph,Jackson,male,White,other,March,1,1965
Alex,Scott,female,African_American,other,November,27,1962
Blake,Taylor,female,White,other,March,8,1960
Paola,Collins,female,Other,other,April,16,1957
Eva,Reynolds,,Other,spanish,February,25,1952
Valerie,Wang,female,Other,other,October,9,1970
Gracie,Curry,female,White,english,January,23,1981
Anthony,Moore,male,African_American,other,August,24,1985
Stephen,Walter,male,White,english,March,2,1992
Hector,Casey,male,Other,french,January,8,1960
Alexis,Hodge,female,African_American,other,July,27,1951
Veronica,Miller,,White,other,June,4,1977
Alexander,Smith,male,Other,spanish,February,2,1971
Max,Lee,male,White,english,January,3,1969
Carla,Walker,female,Other,other,November,22,1959
Blake,Harris,male,White,other,November,1,1979
Walter,Swift,male,Hispanic,spanish,May,7,1979
Enrique,Marshall,,Hispanic,english,October,13,1983
Hunter,Lee,male,Other,spanish,July,24,1954
Dean,Walsh,male,Other,english,June,18,1987
Hector,Curry,male,Hispanic,spanish,October,25,1972
Andy,White,female,Hispanic,spanish,November,29,1982
Andrea,Harris,male,Other,spanish,September,24,1974
Alexis,Brooks,female,Hispanic,spanish,May,18,1951
Stephen,Walsh,,African_American,spanish,August,28,1975
Hunter,Wilson,female,African_American,english,April,3,1977
Donna,Anthony,,White,english,September,2,1963
Michael,Jones,male,Other,english,November,16,1956
Alexis,Lopez,female,White,other,January,9,1969
Andy,Young,male,White,other,June,8,1978
Riley,Davis,female,Other,french,November,8,1994
Walter,Anderson,male,African_American,french,November,11,1964
Nicole,Lee,female,Other,other,April,18,1960
Alex,Western,female,African_American,french,June,27,1981
Veronica,Jones,female,Other,other,June,9,1964
Alex,Collins,female,Other,english,November,11,1964
Enrique,Curry,male,African_American,english,September,12,1988
Gael,Reynolds,male,Other,spanish,February,18,1979
Hunter,Reynolds,female,White,french,April,3,1956
Steven,Walsh,male,White,french,February,21,1958
Gael,Thompson,male,African_American,other,March,19,1974
Paul,Thomas,male,White,french,June,10,1963
Ryan,Dick,male,White,other,January,20,1977
Alex,Reynolds,female,Other,other,September,26,1965
Brandon,Lee,male,Other,spanish,April,10,1966
Linda,Walter,female,Other,french,July,6,1996
Alexis,Moore,male,Other,english,June,3,1986
Nicole,Butler,female,African_American,french,April,18,1954
Paola,Lewis,female,White,other,January,22,1961
Michael,Walter,male,Other,english,June,7,1981
Alexander,Harris,male,White,other,February,2,1979
Andrea,Reynolds,female,Hispanic,spanish,August,5,1983
Katelyn,Franklin,female,White,other,April,5,1987
Blake,Curry,male,Hispanic,spanish,August,4,1972
Kevin,Hodge,male,Other,spanish,February,17,1951
Stacey,Walter,female,White,english,May,11,1986
Kevin,White,male,White,french,November,26,1984
Carol,Scott,female,African_American,french,January,14,1972
Alex,Curry,female,White,french,January,5,1993
Paul,Hall,male,Other,spanish,June,24,1976
Anthony,Tyler,male,White,english,August,24,1997
Dean,Dotts,male,African_American,other,March,31,1997
Max,Brooks,male,Other,french,December,18,1969
Katy,Lewis,female,African_American,english,March,14,1996
Caitlin,Jackson,female,White,french,January,30,1975
Hunter,Jones,male,White,french,October,10,1990
Caleb,Walter,male,Hispanic,spanish,December,25,1987
Hector,Jones,male,Hispanic,spanish,June,12,1951
Anthony,Collins,male,White,french,June,20,1966
Travis,Taylor,male,White,other,April,19,1960
Chris,Phillips,male,White,other,December,20,1983
Robert,Johnson,male,Other,french,September,21,1983
James,Wilson,male,Other,english,April,11,1988
Anthony,Harris,male,African_American,other,July,20,1990
Tom,Swift,male,African_American,french,September,8,1978
Andrew,Brooks,male,Other,spanish,June,2,1957
Emily,Phillips,female,White,english,July,2,1979
Nicole,Adams,female,White,english,January,19,1973
Georgia,Walsh,female,Other,english,September,23,1987
Brett,Walker,male,African_American,other,July,5,1986
Bridget,Miller,female,Hispanic,spanish,December,7,1978
Madison,Western,female,African_American,french,April,24,1981
Riley,Walker,male,African_American,french,October,8,1984
Marcy,Howard,female,Hispanic,spanish,July,18,1983
Franklin,Western,male,African_American,english,September,31,1994
Madison,Phillips,female,White,french,June,28,1974
Thomas,Taylor,,Hispanic,french,March,24,1974
Peter,Moore,male,Other,english,March,9,1952
Hannah,Scott,female,Other,other,July,5,1979
Riley,Collins,female,Other,other,April,1,1957
Franklin,Walker,male,Other,other,January,15,1959
Sophie,Walker,female,White,other,December,20,1982
Hannah,Jones,female,Other,english,July,5,1956
Riley,Marshall,female,African_American,french,November,8,1993
Peter,Wilson,male,African_American,english,March,9,1977
Michael,Walker,male,African_American,english,November,29,1953
Alexis,Miller,female,White,english,December,21,1977
Gabrielle,Thomas,female,White,french,December,7,1956
Linda,Howard,female,Hispanic,spanish,April,28,1980
Franklin,Taylor,male,White,other,September,31,1960
Gael,Douglas,male,African_American,other,December,24,1988
Marcy,Wilson,female,White,french,February,14,1952
Bridget,Walker,female,African_American,other,October,17,1985
April,Franklin,female,Other,english,September,13,1993
Carl,Gardner,,Other,english,April,25,1965
Mark,Harris,male,Other,spanish,January,8,1994
Diana,Walsh,female,Other,english,December,26,1972
Georgia,Thomas,female,African_American,french,February,5,1974
Brett,Wang,male,African_American,english,September,16,1971
Lisa,Thomas,female,African_American,french,July,24,1974
Chris,Phillips,male,Other,french,December,20,1959
George,Moore,male,African_American,other,November,7,1953
Anthony,Moore,male,African_American,other,June,20,1953
John,Tyler,male,Other,spanish,July,3,1955
Robert,Thomas,female,Hispanic,english,February,30,1959
Alexis,Butler,female,White,other,April,16,1980
Franklin,Carter,male,African_American,english,June,13,1988
Hunter,Thompson,male,White,french,July,23,1952
Valerie,Anthony,female,Other,other,October,18,1997
Jacky,Lopez,female,Other,spanish,March,23,1992
Paola,Dick,female,Other,spanish,November,19,1969
Paula,Curry,female,Other,other,July,16,1952
Katy,Clark,female,Hispanic,other,October,6,1970
Andy,Moore,female,African_American,french,December,21,1989
James,Jackson,male,Other,english,April,11,1970
Sheila,Butler,female,Other,other,September,15,1956
Elizabeth,Swift,female,Other,french,November,27,1950
Brian,Wang,,White,english,June,1,1950
Riley,Thomas,female,Other,spanish,May,14,1950
Alexander,Clark,male,White,french,March,30,1953
Blake,Martin,female,Other,french,November,21,1974
Peter,Lopez,male,African_American,english,June,23,1973
Jake,Western,male,African_American,french,September,3,1981
Alexandra,Anderson,female,White,english,November,8,1965
Alex,Curry,female,Other,spanish,October,10,1970
Andy,Jackson,male,Other,english,February,6,1970
Mark,Moore,male,African_American,french,November,13,1989
Ryan,White,female,White,english,April,20,1967
Mark,Morrow,male,White,english,January,25,1984
Linda,Franklin,female,African_American,english,April,28,1950
Alex,Anthony,male,White,french,November,11,1976
George,Johnson,male,White,other,May,19,1973
Hunter,Dotts,female,Hispanic,spanish,July,18,1986
Marcy,Lopez,female,African_American,english,November,21,1973
Paola,Jones,female,Other,french,October,13,1997
Hannah,Curry,female,African_American,english,March,13,1989
Edward,Adams,male,White,other,June,30,1963
Enrique,Carter,male,African_American,english,March,19,1980
Blake,Dotts,female,African_American,other,September,28,1953
George,Walter,male,White,english,July,10,1988
Emily,Tyler,male,White,other,June,26,1965
Carol,Smith,female,Other,english,February,29,1970
Brian,Evans,male,African_American,english,August,22,1969
Dean,Hodge,male,White,french,June,18,1985
Sara,OBrien,male,African_American,french,June,31,1983
Alexis,Thomas,female,White,french,April,15,1963
James,Collins,male,Other,other,April,11,1964
John,Lee,male,Other,spanish,August,23,1966
Enrique,Walsh,male,Other,french,March,19,1951
Enrique,Curry,male,Hispanic,spanish,September,24,1965
Jimmy,Harris,male,Other,english,August,8,1972
Dean,Collins,male,Other,other,July,4,1964
Blake,Dotts,female,Hispanic,spanish,November,21,1986
Brett,Clark,male,African_American,french,September,12,1974
Gracie,Gardner,female,White,english,September,23,1960
Carol,White,female,Hispanic,spanish,January,14,1982
Dean,Swift,male,African_American,other,July,4,1960
Sara,Lewis,female,African_American,french,July,28,1984
Stephen,Moore,male,White,french,May,28,1964
Gael,Tyler,female,Other,english,December,5,1958
Mark,Lee,male,Other,french,January,8,1973
Walter,Dotts,male,Other,english,November,11,1975
Robert,Dick,male,White,other,February,21,1997
Emily,Howard,female,Hispanic,spanish,November,7,1980
Madison,Adams,female,White,other,May,1,1963
Robert,Curry,male,White,english,February,21,1966
Walter,Smith,,Other,french,April,7,1981
Anthony,Miller,female,Hispanic,english,February,11,1985
Chris,Walker,male,African_American,other,October,14,1953
Dean,Smith,male,White,french,March,31,1995
Linda,Dotts,female,Other,english,July,6,1957
Natalie,Reynolds,female,Hispanic,spanish,June,15,1983
Alexis,Anthony,female,White,english,August,1,1955
Elizabeth,Smith,female,Other,spanish,November,27,1971
Dean,Western,male,Hispanic,spanish,March,24,1989
Madison,Morrow,female,White,other,June,28,1963
Brett,Anthony,male,African_American,english,September,16,1970
George,Wang,male,White,french,July,30,1972
Walter,Collins,male,African_American,french,March,13,1957
Don,Walker,male,African_American,other,September,25,1960
Carl,Jackson,male,African_American,english,June,13,1979
Stacey,Harris,female,White,other,April,30,1963
Kevin,Dotts,male,Other,spanish,August,16,1954
Joe,Taylor,male,Other,english,April,20,1980
Anthony,Brooks,male,Other,english,November,7,1968
Robert,Swift,male,Other,other,November,31,1983
Brenda,White,female,Other,french,December,24,1986
Peter,Butler,,Hispanic,english,November,19,1972
Georgia,Thomas,female,White,french,September,23,1963
Joshua,White,,Other,other,June,20,1952
Lisa,Taylor,,African_American,other,October,22,1959
John,Smith,male,White,french,November,4,1962
Joseph,Brooks,male,African_American,english,March,1,1968
Enrique,Brooks,male,Other,english,July,25,1968
Hunter,Moore,male,African_American,other,August,23,1985
Gracie,Clark,female,White,french,January,23,1953
Kevin,Brooks,male,Other,english,November,10,1968
Mark,White,male,Hispanic,spanish,January,8,1967
Madison,Walker,female,White,other,January,21,1958
Natalie,Western,female,White,french,June,15,1969
Dean,Evans,male,Hispanic,spanish,March,31,1963
Diana,OBrien,female,Other,other,August,7,1965
Alexandra,Thompson,female,Other,french,March,10,1973
Kevin,Douglas,male,African_American,other,April,30,1988
James,Dick,male,White,other,September,7,1997
Peter,Collins,male,White,french,September,3,1966
Donna,Clark,female,Other,english,March,5,1990
Danielle,Phillips,female,Other,french,May,30,1977
Kevin,Scott,male,African_American,other,February,17,1962
Isabel,Lopez,female,White,french,September,29,1958
Valerie,Carter,female,African_American,english,October,18,1976
Alexis,Butler,female,Other,french,February,31,1983
Jimmy,Dotts,male,Other,french,April,1,1963
Blake,Lopez,female,Other,spanish,June,4,1992
Alexander,Phillips,male,Hispanic,french,November,7,1980
Khalil,Anthony,male,White,french,April,13,1967
Valerie,Wang,female,White,french,October,9,1981
Steven,White,male,White,french,February,15,1963
Kevin,Walter,male,African_American,english,May,9,1974
Dorothy,Walter,female,White,french,June,18,1970
Riley,Douglas,male,White,french,October,1,1951
Andy,Clark,female,African_American,other,November,29,1993
Ryan,Curry,male,White,english,May,31,1981
Riley,Reynolds,male,White,other,August,5,1993
Alexander,Hodge,male,White,french,September,2,1985
Paola,Lee,female,Other,spanish,April,16,1966
Travis,Casey,male,Other,english,April,19,1950
Stephanie,Anthony,female,White,other,December,27,1957
Brett,Morrow,male,Other,spanish,August,30,1962
Brian,Dotts,male,African_American,other,April,8,1997
Marcy,Walker,female,African_American,french,February,14,1981
Linda,Young,,Hispanic,other,July,10,1992
Emily,Franklin,female,White,other,July,2,1987
Riley,Jones,female,White,french,April,2,1990
Stacey,Lee,female,White,spanish,April,7,1963
Steven,Franklin,male,White,other,March,25,1972
Alex,Adams,female,Hispanic,spanish,May,17,1963
Natalie,Miller,female,Hispanic,spanish,October,6,1978
Barbara,Lee,female,Other,spanish,August,13,1954
Hector,Walker,male,Hispanic,spanish,June,12,1950
Katelyn,Clark,female,African_American,other,August,16,1982
Kevin,Jones,male,Other,english,November,26,1956
Max,Swift,male,White,other,July,15,1972
Paola,Harris,female,White,other,April,16,1979
Brett,Harris,male,Other,spanish,September,16,1994
Riley,Lopez,female,White,english,April,2,1955
Riley,White,male,White,french,October,1,1984
Michael,Brooks,male,Hispanic,spanish,November,29,1951
Elizabeth,Phillips,female,African_American,other,April,7,1983
Sheila,Young,female,Hispanic,spanish,March,25,1984
Riley,Jackson,female,Other,english,November,8,1970
Robert,Scott,male,Other,french,December,19,1965
Andy,Martin,male,White,french,June,8,1955
Alexis,Gardner,female,Other,spanish,August,1,1990
James,Franklin,male,White,other,April,11,1987
Caleb,Western,male,African_American,english,April,5,1994
Ivy,Wang,female,African_American,spanish,October,13,1989
Riley,Walker,male,Other,english,August,5,1990
Donna,Walker,female,White,english,October,30,1978
Dean,Martin,male,Other,other,February,21,1997
Jimmy,Butler,male,Other,other,April,1,1956
Hunter,Brooks,female,African_American,other,December,17,1993
Stacey,Johnson,female,White,other,February,5,1973
Sheila,Walker,female,Hispanic,spanish,September,15,1992
Tom,Curry,male,White,other,October,29,1964
Elizabeth,Phillips,male,African_American,other,July,8,1989
George,Moore,male,White,english,February,28,1963
Joshua,Butler,male,Other,french,November,5,1983
Dean,Taylor,,African_American,other,March,20,1990
Kevin,Harris,male,Other,spanish,July,10,1994
Franklin,Western,male,Other,spanish,January,15,1960
John,Smith,male,African_American,other,May,30,1959
Paola,Douglas,female,Other,french,October,23,1969
Peter,Wang,male,White,french,February,31,1972
Hector,Davis,male,Other,french,May,17,1994
John,Reynolds,male,African_American,english,August,23,1963
Brian,Walter,male,Other,spanish,May,10,1956
Linda,Young,female,White,other,July,6,1987
Riley,Collins,female,White,french,May,14,1966
Franklin,Lee,male,White,other,March,11,1985
Katelyn,Dotts,female,Other,english,April,6,1975
Alex,Harris,male,Other,english,July,7,1972
Nathan,Lee,male,African_American,french,February,5,1977
Hunter,Anthony,male,Other,english,August,23,1953
Stacey,Miller,female,Hispanic,spanish,February,5,1978
Eva,Moore,female,Other,other,May,8,1983
Brandon,Douglas,male,Hispanic,spanish,April,10,1953
Ryan,Collins,male,Other,other,August,1,1957
Madison,Jackson,female,White,other,May,17,1990
Paola,Walker,female,African_American,french,January,22,1967
Gael,Taylor,male,Other,english,March,19,1980
Jake,Brooks,male,African_American,other,January,30,1975
Sara,Dotts,female,Other,spanish,December,9,1954
Ryan,Franklin,male,Other,english,November,5,1993
Diana,Tyler,female,Hispanic,spanish,December,26,1958
Lisa,Butler,female,African_American,french,April,6,1954
Alex,Taylor,female,Other,english,June,27,1980
Matthew,Walker,male,Hispanic,spanish,April,20,1950
Joseph,Dotts,male,African_American,other,March,1,1953
Alex,Curry,female,Other,french,November,27,1969
Stacey,Dotts,female,Other,english,June,1,1957
Hector,Jackson,male,White,other,January,8,1965
Joe,Jackson,male,African_American,english,April,20,1979
Gerald,Lewis,,African_American,other,November,30,1996
Andy,Collins,female,Other,english,December,21,1964
Max,Swift,male,Other,french,January,3,1956
Karla,Anderson,female,Hispanic,spanish,September,11,1977
Gabriela,Swift,female,Other,french,January,24,1956
Caitlin,Walter,female,White,english,January,30,1986
Joseph,Lopez,male,Other,other,June,29,1964
Ivy,Adams,female,Hispanic,spanish,December,31,1973
Susan,Franklin,female,African_American,english,May,23,1950
Dean,Jones,male,Hispanic,spanish,March,31,1951
Kevin,Moore,male,White,french,July,5,1968
Alexis,Taylor,female,Hispanic,spanish,October,14,1957
Stephen,Thomas,male,African_American,french,April,25,1974
Barbara,Moore,female,African_American,other,August,13,1985
Donna,Davis,female,Other,other,October,30,1980
Alexis,Franklin,female,Hispanic,spanish,February,31,1969
Katy,Wilson,female,White,french,March,14,1981
Caleb,Moore,male,Other,english,April,5,1969
Gael,Lewis,male,African_American,other,March,19,1977
Thomas,Dotts,male,Hispanic,french,October,27,1951
Alex,Martin,female,Other,french,June,27,1974
Jimmy,Walker,male,African_American,other,April,1,1960
Robert,Western,male,Other,english,December,19,1961
Brian,Walker,male,Hispanic,spanish,May,10,1981
Riley,Walker,male,Hispanic,spanish,October,8,1992
Emily,Reynolds,female,Other,other,June,4,1988
Elizabeth,Young,,Other,other,January,4,1965
Tom,Davis,male,White,english,November,15,1955
Brian,Butler,male,Other,other,April,8,1956
Tom,Wang,male,Other,english,February,4,1995
Stephanie,Taylor,female,White,other,December,8,1960
Hunter,Wilson,male,Other,english,May,4,1988
Kevin,Morrow,male,Hispanic,spanish,August,16,1973
Gerald,Wang,male,White,english,April,20,1983
Veronica,Phillips,female,White,other,October,24,1983
Chris,Swift,male,White,english,October,14,1986
Enrique,Moore,male,African_American,other,January,28,1985
Sara,Anthony,female,Other,other,December,7,1987
George,Clark,male,White,english,July,30,1978
Donna,Moore,female,White,french,January,12,1964
Alexander,Walker,male,African_American,other,September,2,1960
Jimmy,Lewis,male,Other,spanish,December,13,1960
Stacey,Marshall,female,African_American,other,May,11,1989
Hannah,Adams,female,Hispanic,spanish,July,5,1973
Sophie,Clark,,African_American,spanish,May,22,1991
Madison,Hodge,female,White,french,September,13,1985
Andrew,Clark,,White,french,May,13,1956
Katy,Walker,female,African_American,other,March,14,1965
Jake,Adams,male,Hispanic,spanish,January,30,1981
George,Reynolds,male,Other,spanish,January,14,1978
Blake,Lee,male,Other,english,April,18,1994
Gael,Hodge,male,African_American,english,March,19,1992
Brian,Walsh,male,Other,spanish,December,24,1988
Sophie,Dotts,female,African_American,other,December,20,1952
Steven,Tyler,male,White,english,July,26,1997
Marcy,Miller,female,Other,french,October,5,1989
Madison,Butler,female,White,other,April,24,1980
Linda,Swift,female,Other,french,April,28,1956
Joseph,Thomas,male,African_American,french,June,29,1974
Alex,Martin,female,Other,french,September,13,1993
Alex,Lewis,female,Other,english,March,1,1962
Jacky,Miller,female,Other,other,December,14,1992
Alex,Lee,female,African_American,french,September,13,1977
Mark,Phillips,,Hispanic,spanish,February,28,1993
Alexis,Anderson,,Other,english,July,5,1985
Edward,Clark,male,White,french,June,30,1953
Alexis,Brooks,male,African_American,other,June,3,1993
Brandon,Lewis,male,African_American,french,April,10,1970
Caitlin,Davis,female,Other,other,April,9,1980
Alexis,Thomas,female,White,french,February,31,1963
Franklin,Scott,male,African_American,french,March,11,1972
Andrea,Morrow,female,White,other,September,16,1963
Brian,Lewis,male,White,other,May,19,1961
Kevin,Moore,male,White,english,October,19,1963
Stacey,Butler,female,Other,french,February,5,1990
Hunter,Jackson,male,Hispanic,spanish,October,10,1960
Carol,Hall,female,Hispanic,spanish,February,29,1979
Andy,Wilson,female,White,french,November,29,1952
Valerie,Walker,female,White,english,October,9,1966
April,Adams,female,Hispanic,spanish,September,13,1963
Alexis,Moore,female,African_American,other,April,16,1953
Kevin,Butler,male,Hispanic,spanish,August,16,1992
Edward,Walker,female,Hispanic,english,September,31,1991
Riley,Jones,male,Other,other,January,16,1964
Nathan,Curry,male,Other,spanish,October,2,1997
Nicole,Anderson,female,Hispanic,spanish,January,19,1977
Charles,Wang,male,White,french,May,4,1972
Susan,Walker,female,African_American,english,May,23,1956
Alexis,OBrien,male,Other,spanish,August,3,1989
Don,Douglas,male,African_American,other,July,31,1988
Emily,Smith,female,African_American,other,June,4,1959
Nicole,Dotts,female,Other,french,January,19,1963
Nicole,Dick,,African_American,english,November,14,1951
Alex,Morrow,female,African_American,french,September,26,1977
James,Walker,male,African_American,french,April,11,1981
Alex,Jackson,female,Other,spanish,September,20,1972
Franklin,Howard,male,Hispanic,spanish,September,31,1980
Jimmy,Anthony,male,White,other,April,6,1957
Alexis,Walsh,female,Other,other,May,22,1997
Katelyn,Western,female,Other,spanish,November,22,1977
Andy,Howard,female,Other,other,December,21,1974
Donald,Reynolds,male,Hispanic,spanish,January,5,1983
Linda,Lewis,female,White,other,May,14,1961
Eva,Adams,female,White,other,December,8,1963
Emily,Collins,female,Other,spanish,December,24,1967
Riley,Swift,female,Other,spanish,May,14,1968
Hannah,Dick,,White,other,February,21,1972
Caleb,Lopez,male,White,english,April,5,1965
Andrew,Curry,male,White,other,August,31,1954
Natalie,Dick,female,Other,other,November,25,1977
Andy,Curry,female,Other,french,December,21,1987
Alexis,Walter,female,Other,other,January,9,1989
Brian,Gardner,male,White,english,May,10,1960
Nicole,Anthony,male,White,other,May,14,1976
Paul,Anthony,male,Other,spanish,June,24,1986
Alexander,Swift,male,African_American,french,February,2,1978
Blake,Gardner,female,Other,spanish,September,28,1990
Franklin,Davis,male,African_American,french,June,13,1988
Gael,White,male,Hispanic,spanish,December,24,1982
Bridget,Davis,female,Other,other,January,20,1981
Mark,Franklin,male,White,other,November,1,1987
Dean,Jackson,male,White,french,March,31,1975
Sophie,Walsh,female,Other,spanish,December,20,1988
Blake,Phillips,male,African_American,other,November,1,1983
Alexandra,Collins,female,Other,english,August,2,1963
Marcy,Dotts,female,African_American,other,August,30,1953
Stephen,Walter,male,Other,french,August,18,1996
Valerie,Anthony,female,African_American,french,January,29,1961
Hector,Casey,male,White,other,June,12,1984
Travis,Douglas,male,African_American,other,January,6,1988
Sheila,Casey,female,Other,french,February,5,1958
Joe,Lopez,male,Other,other,April,20,1964
Caleb,Howard,male,Other,english,January,13,1956
Joseph,Butler,male,African_American,other,November,11,1977
Carl,Young,male,White,other,September,14,1964
Alex,Davis,male,Hispanic,spanish,June,15,1980
John,Reynolds,male,Other,other,May,30,1988
Alexis,Moore,male,White,french,May,1,1964
Max,Wilson,male,African_American,english,July,15,1977
Robert,Jones,male,White,other,November,31,1955
Hunter,Walker,male,African_American,french,May,6,1967
Hunter,Hodge,male,African_American,english,May,4,1992
Gael,Gardner,male,Hispanic,spanish,November,30,1960
Nicole,Brown,female,Other,english,February,8,1952
Peter,Reynolds,male,Other,french,February,31,1979
Joe,Jackson,male,Other,spanish,June,16,1972
Stacey,Young,female,African_American,french,June,1,1954
Gael,Brown,male,African_American,other,November,30,1992
Brad,Tyler,male,African_American,other,June,1,1976
Franklin,Western,male,Other,english,October,22,1961
Alexis,Casey,male,Other,english,July,29,1950
Elizabeth,Carter,male,White,spanish,January,8,1988
Brian,Wang,male,White,english,May,19,1983
Andy,Taylor,male,Other,english,January,7,1980
Alexis,Johnson,female,Hispanic,spanish,May,18,1965
Hunter,Wang,female,Other,english,July,18,1995
Joseph,Walter,male,African_American,english,March,1,1974
Blake,Wilson,male,Other,other,August,4,1974
Riley,Marshall,female,White,english,February,31,1957
Hunter,Lopez,female,African_American,english,November,22,1973
Stephanie,Martin,female,Other,french,June,23,1993
Alexandra,Western,female,White,english,June,16,1965
Andrea,Davis,female,Hispanic,spanish,November,12,1980
Nicole,Walker,female,White,other,April,18,1982
Alexandra,Walter,female,Other,english,August,2,1981
Matthew,Brooks,,Hispanic,english,October,24,1988
Joshua,Dick,,Hispanic,spanish,December,27,1954
Carla,Wang,female,Hispanic,spanish,November,22,1976
Blake,Taylor,female,African_American,english,March,8,1976
Dorothy,Douglas,female,Other,spanish,October,20,1970
Kevin,Hodge,male,Other,spanish,November,10,1951
Brett,Walker,male,Other,french,September,16,1954
Stephen,Casey,male,Other,french,August,18,1958
Enrique,Phillips,male,Other,french,July,25,1977
Eva,Walker,female,Hispanic,spanish,January,14,1954
Hunter,Martin,female,White,french,July,18,1955
Brandon,Tyler,male,Other,english,April,10,1996
Ryan,OBrien,male,Other,spanish,August,1,1995
Jake,OBrien,male,Other,other,November,1,1965
Riley,Franklin,male,Other,english,October,1,1972
Alexandra,Morrow,female,White,other,September,25,1976
Kevin,Wang,male,White,french,November,10,1981
Chris,Curry,male,Hispanic,spanish,October,14,1972
Lisa,Jones,,African_American,other,June,20,1970
Andy,Young,female,African_American,english,April,11,1961
April,Butler,female,African_American,french,August,1,1950
Gracie,Lopez,female,Hispanic,spanish,December,2,1976
Gerald,Scott,male,African_American,english,May,24,1960
Donna,Davis,male,White,french,April,13,1988
Ivy,Davis,female,White,other,August,6,1953
Caleb,Thompson,male,Other,other,November,29,1959
Gabriela,Dotts,female,African_American,other,March,21,1952
Isabel,Davis,,Hispanic,french,July,7,1986
Andy,Walker,female,African_American,other,May,7,1953
Valerie,Davis,female,Hispanic,spanish,October,14,1975
Gerald,Martin,male,Other,french,July,25,1993
Kevin,Clark,male,Other,spanish,July,10,1956
Andrea,Western,female,African_American,other,November,12,1956
Riley,Walker,male,Hispanic,spanish,January,7,1954
Mark,Lopez,male,African_American,english,October,31,1973
